0,1,2,3
191.728,200,200,200
165.577,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
165.575,200,200,200
