0,1,2,3
147.286,200,200,200
102.814,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
102.81,200,200,200
