0,1,2,3
180.723,200,200,200
143.994,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
143.991,200,200,200
