0,1,2,3
199.865,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
198.38,200,200,200
