0,1,2,3,4,5,6,7
301.607,200,200,200,200,200,200,200
451.261,200,200,200,200,200,200,200
367.291,200,200,200,200,200,200,200
345.333,200,200,200,200,200,200,200
340.582,200,200,200,200,200,200,200
339.686,200,200,200,200,200,200,200
339.536,200,200,200,200,200,200,200
339.514,200,200,200,200,200,200,200
339.511,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
339.51,200,200,200,200,200,200,200
