0,1,2,3,4,5,6,7
4.1323e+134,200,200,200,200,200,200,200
6.54732e+135,200,200,200,200,200,200,200
9.92567e+134,200,200,200,200,200,200,200
9.07107e+133,200,200,200,200,200,200,200
7.64787e+132,200,200,200,200,200,200,200
6.38841e+131,200,200,200,200,200,200,200
5.33604e+130,200,200,200,200,200,200,200
4.46107e+129,200,200,200,200,200,200,200
3.73334e+128,200,200,200,200,200,200,200
3.12752e+127,200,200,200,200,200,200,200
2.62274e+126,200,200,200,200,200,200,200
2.20175e+125,200,200,200,200,200,200,200
1.85032e+124,200,200,200,200,200,200,200
1.55666e+123,200,200,200,200,200,200,200
1.31105e+122,200,200,200,200,200,200,200
1.10542e+121,200,200,200,200,200,200,200
9.33102e+119,200,200,200,200,200,200,200
7.88547e+118,200,200,200,200,200,200,200
6.67161e+117,200,200,200,200,200,200,200
5.65127e+116,200,200,200,200,200,200,200
4.79271e+115,200,200,200,200,200,200,200
4.06953e+114,200,200,200,200,200,200,200
3.45972e+113,200,200,200,200,200,200,200
2.94497e+112,200,200,200,200,200,200,200
2.50999e+111,200,200,200,200,200,200,200
2.14202e+110,200,200,200,200,200,200,200
1.83038e+109,200,200,200,200,200,200,200
1.56615e+108,200,200,200,200,200,200,200
1.34188e+107,200,200,200,200,200,200,200
1.15129e+106,200,200,200,200,200,200,200
9.89152e+104,200,200,200,200,200,200,200
8.51044e+103,200,200,200,200,200,200,200
7.3327e+102,200,200,200,200,200,200,200
6.32714e+101,200,200,200,200,200,200,200
5.46757e+100,200,200,200,200,200,200,200
4.73188e+99,200,200,200,200,200,200,200
4.10145e+98,200,200,200,200,200,200,200
3.56054e+97,200,200,200,200,200,200,200
3.09585e+96,200,200,200,200,200,200,200
2.69613e+95,200,200,200,200,200,200,200
2.35186e+94,200,200,200,200,200,200,200
2.05497e+93,200,200,200,200,200,200,200
1.79859e+92,200,200,200,200,200,200,200
1.57691e+91,200,200,200,200,200,200,200
1.38497e+90,200,200,200,200,200,200,200
1.21857e+89,200,200,200,200,200,200,200
1.07411e+88,200,200,200,200,200,200,200
9.48525e+86,200,200,200,200,200,200,200
8.39204e+85,200,200,200,200,200,200,200
7.43909e+84,200,200,200,200,200,200,200
6.60726e+83,200,200,200,200,200,200,200
5.88019e+82,200,200,200,200,200,200,200
5.244e+81,200,200,200,200,200,200,200
4.68866e+80,200,200,200,200,200,200,200
4.22398e+79,200,200,200,200,200,200,200
4.04308e+78,200,200,200,200,200,200,200
6.15865e+77,200,200,200,200,200,200,200
3.07679e+77,200,200,200,200,200,200,200
2.79904e+77,200,200,200,200,200,200,200
2.77395e+77,200,200,200,200,200,200,200
2.77168e+77,200,200,200,200,200,200,200
2.77147e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
2.77145e+77,200,200,200,200,200,200,200
